timestamp,user,src_ip,location,event,status
2024-03-15 11:00:14,carol,185.220.101.42,External_VPN,login_attempt,failed
2024-03-15 11:00:50,carol,185.220.101.42,External_VPN,login_attempt,failed
2024-03-15 11:01:26,carol,185.220.101.42,External_VPN,login_attempt,failed
2024-03-15 11:02:02,carol,185.220.101.42,External_VPN,login_attempt,failed
2024-03-15 11:02:38,carol,185.220.101.42,External_VPN,login_attempt,failed
2024-03-15 11:03:14,carol,185.220.101.42,External_VPN,login_attempt,failed
2024-03-15 11:03:50,carol,185.220.101.42,External_VPN,login_attempt,failed
2024-03-15 11:04:26,carol,185.220.101.42,External_VPN,login_attempt,failed
2024-03-15 11:05:02,carol,185.220.101.42,External_VPN,login_attempt,failed
2024-03-15 11:06:08,carol,185.220.101.42,External_VPN,login_attempt,success
2024-03-15 11:06:10,carol,185.220.101.42,External_VPN,session_start,success
2024-03-15 08:42:11,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 09:04:33,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 09:22:07,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 09:44:52,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 10:01:18,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 10:18:43,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 10:33:28,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 10:47:05,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 10:58:41,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 11:08:14,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 11:14:48,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 11:19:33,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 11:23:07,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 11:26:42,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 11:29:18,dave,10.0.22.44,Home_VPN,login_attempt,failed
2024-03-15 11:32:44,dave,10.0.22.44,Home_VPN,login_attempt,success
2024-03-15 11:32:46,dave,10.0.22.44,Home_VPN,session_start,success
